tension;current;power
0,00;0,0155;0,000000
0,04;0,0155;0,000620
0,08;0,0155;0,001240
0,12;0,0153;0,001836
0,16;0,0150;0,002400
0,20;0,0146;0,002920
0,24;0,0141;0,003384
0,28;0,0134;0,003752
0,30;0,0127;0,003810
0,31;0,0126;0,003906
0,32;0,0124;0,003968
0,33;0,0122;0,004026
0,34;0,0120;0,004080
0,35;0,0117;0,004095
0,36;0,0114;0,004104
0,37;0,0111;0,004107
0,38;0,0107;0,004066
0,39;0,0105;0,004095
0,40;0,0102;0,004080
0,41;0,0097;0,003977
0,42;0,0094;0,003948
0,43;0,0092;0,003956
0,44;0,0090;0,003960
0,45;0,0086;0,003870
0,46;0,0082;0,003772
0,47;0,0078;0,003666
0,48;0,0074;0,003552
0,49;0,0071;0,003479
0,50;0,0065;0,003250
0,52;0,0065;0,003380
0,56;0,0047;0,002632
0,60;0,0034;0,002040
0,64;0,0014;0,000896
0,68;0,0000;0,000000
